pID,condition,question,answer,reason
1,smallmultiples_overlays_shadowmarks,speed,,
1,smallmultiples_overlays_shadowmarks,accuracy,,
1,smallmultiples_overlays_shadowmarks,preference,,
2,smallmultiples_overlays_shadowmarks,speed,,
2,smallmultiples_overlays_shadowmarks,accuracy,,
2,smallmultiples_overlays_shadowmarks,preference,,
3,smallmultiples_overlays_shadowmarks,speed,Shadow Marks,I found what looked like the highest point and then could easily discern if there was something higher from the mark.
3,smallmultiples_overlays_shadowmarks,accuracy,Shadow Marks,I found what looked like the highest point and then could easily discern if there was something higher from the mark.
3,smallmultiples_overlays_shadowmarks,preference,Shadow Marks,I found what looked like the highest point and then could easily discern if there was something higher from the mark. This made the task stress free and simple. The other techniques were very challenging.
4,smallmultiples_shadowmarks_overlays,speed,,
4,smallmultiples_shadowmarks_overlays,accuracy,,
4,smallmultiples_shadowmarks_overlays,preference,,
5,overlays_smallmultiples_shadowmarks,speed,Shadow Marks,a lot easier to complete with a ruler like tool to compare between the different images
5,overlays_smallmultiples_shadowmarks,accuracy,Shadow Marks,easier and much more straight forward task
5,overlays_smallmultiples_shadowmarks,preference,Shadow Marks,easiest to complete and do 
6,overlays_shadowmarks_smallmultiples,speed,Shadow Marks,It was the easiest to compare across each data set
6,overlays_shadowmarks_smallmultiples,accuracy,Shadow Marks,Because it put the marks across all levels rather than try to interpret where the axii were on the three levels
6,overlays_shadowmarks_smallmultiples,preference,Shadow Marks,"Easiest, fastest, clearest"
7,shadowmarks_smallmultiples_overlays,speed,,
7,shadowmarks_smallmultiples_overlays,accuracy,,
7,shadowmarks_smallmultiples_overlays,preference,,
8,shadowmarks_overlays_smallmultiples,speed,,
8,shadowmarks_overlays_smallmultiples,accuracy,,
8,shadowmarks_overlays_smallmultiples,preference,,
9,smallmultiples_overlays_shadowmarks,speed,Shadow Marks,I could compare everything at once
9,smallmultiples_overlays_shadowmarks,accuracy,Overlays,i could compare similar ones
9,smallmultiples_overlays_shadowmarks,preference,Shadow Marks,it felt easiest and quickest
10,smallmultiples_shadowmarks_overlays,speed,Shadow Marks,It broke up the data into easily digestible segments that were the least difficult to compare.
10,smallmultiples_shadowmarks_overlays,accuracy,Shadow Marks,Because any data that fell above or below the shadow marks was instantly apparent to the eye.
10,smallmultiples_shadowmarks_overlays,preference,Shadow Marks,It was the least mentally frustrating and physically demanding; the other techniques required a lot of squinting and double-checking.
11,overlays_smallmultiples_shadowmarks,speed,,
11,overlays_smallmultiples_shadowmarks,accuracy,,
11,overlays_smallmultiples_shadowmarks,preference,,
12,overlays_shadowmarks_smallmultiples,speed,,
12,overlays_shadowmarks_smallmultiples,accuracy,,
12,overlays_shadowmarks_smallmultiples,preference,,
13,shadowmarks_smallmultiples_overlays,speed,Overlays,It was hard
13,shadowmarks_smallmultiples_overlays,accuracy,Small Multiples,It was hard
13,shadowmarks_smallmultiples_overlays,preference,Overlays,It was hard
14,shadowmarks_overlays_smallmultiples,speed,,
14,shadowmarks_overlays_smallmultiples,accuracy,,
14,shadowmarks_overlays_smallmultiples,preference,,
15,smallmultiples_shadowmarks_overlays,speed,Shadow Marks,I could compare the outliers from each plot at once
